grdid,all_ihs_dist_km_sog_gt01,all_ihs_dist_km_sog_gt10,boem_ihs_dist_km_sog_gt01,boem_ihs_dist_km_sog_gt10
9138,7968.8340000000035,6566.037000000001,1714.4389999999994,1024.94
9139,6235.290000000001,4857.098999999999,1973.9160000000002,1306.7960000000003
9140,6845.689000000002,5297.2789999999995,1907.8590000000004,1095.5339999999999
9141,10560.722,8904.967000000002,1665.4789999999996,1011.3700000000002
9142,70128.71799999998,65904.306,8108.637999999999,6990.496
9143,77940.18500000001,73170.65999999999,7206.898,6250.231
9144,29393.01899999999,26841.375999999997,3260.769,2448.368999999999
9145,17373.762,15077.951000000005,2596.5229999999992,1800.912
9146,10504.924000000005,8349.183,2078.874,1536.3749999999998
9147,8577.275999999998,7127.32,1369.817,872.3760000000001
9148,7117.529999999998,5961.995000000001,1311.011,731.2040000000002
9149,7974.6359999999995,6449.372,1345.667,828.7410000000001
9150,7363.957,6215.076,1149.4930000000002,739.757
9151,4361.366999999999,3559.968999999999,1207.6789999999999,686.3449999999998
9152,3477.4150000000004,2937.9429999999998,734.4419999999999,450.121
9153,3796.7849999999994,3348.784,569.4569999999999,368.42500000000007
9154,3924.941999999998,3460.9739999999993,655.876,471.07699999999994
9155,7685.282000000001,7050.044000000001,908.5070000000001,645.4209999999999
9156,12091.24,11326.628000000002,2237.475,1932.1910000000003
9157,13300.591000000002,12290.539000000002,2007.414,1643.201
9158,15733.999000000002,14354.615000000002,2121.8920000000007,1707.0470000000005
9159,9646.778999999999,8486.912,954.593,606.1060000000001
9160,9100.609999999999,7402.059,700.8319999999998,398.6649999999999
9161,7553.250999999999,6062.967,670.8660000000001,317.49899999999997
9162,5006.152999999999,4220.673,608.637,291.19700000000006
9163,5126.261,4204.433,635.8719999999998,297.9310000000001
9164,5579.715999999998,4548.812,642.7250000000003,292.93600000000004
9165,5593.563,4610.184000000001,759.7909999999999,413.54300000000006
9166,8527.610999999997,7304.824,1089.82,553.701
9167,7616.6140000000005,6525.5999999999995,816.429,458.09499999999997
9168,9027.181999999999,7311.461,819.6249999999998,421.548
9169,4501.040999999998,3537.347999999999,630.441,234.566
9170,4214.196,3156.768,628.085,183.538
9171,4270.441000000002,3081.3110000000006,642.4979999999998,157.53399999999996
9172,7520.45,5550.502,690.527,160.04799999999994
9173,10575.944999999998,7966.649999999998,706.0170000000002,204.169
9174,10935.081000000002,8278.436,682.8609999999999,157.18700000000004
9175,10971.649000000001,8376.746,708.227,165.78000000000003
9176,9973.413,7637.584,746.6009999999999,217.12000000000006
9177,4769.1500000000005,3571.171,738.8770000000002,258.50699999999995
9178,5795.790000000001,4838.673000000001,692.9280000000001,262.04599999999994
9179,5117.755999999999,4302.090999999999,592.735,203.79199999999997
9180,2092.2529999999997,1531.5759999999998,449.80899999999997,95.124
9181,1853.1089999999992,1389.457,383.13399999999996,81.21099999999998
